Month,SIC,Value,Metric,Seasonal Adjustment,Variable,Estimate,Unit,Marker
2013-12,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-01,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-02,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-03,a-t,-0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-04,a-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-05,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-06,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-07,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-08,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-09,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-10,a-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-11,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-12,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-01,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-02,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-03,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-04,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-05,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-06,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-07,a-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-08,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-09,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-10,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-11,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-12,a-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-01,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-02,a-t,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-03,a-t,-0.1,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-04,a-t,0.1,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-05,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-06,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-07,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-08,a-t,-0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-09,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-10,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-11,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-12,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-01,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-02,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-03,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-04,a-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-05,a-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-06,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-07,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-08,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-09,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-10,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-11,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-12,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-01,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-02,a-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-03,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-04,a-t,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-05,a-t,-0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-06,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-07,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-08,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-09,a-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-10,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-11,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-12,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-01,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-02,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-03,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-04,a-t,-0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-05,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-06,a-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-07,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-08,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-09,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-10,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-11,a-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-12,a-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-01,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-02,a-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-03,a-t,-0.19,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-04,a-t,-0.21,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-05,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-06,a-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-07,a-t,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-08,a-t,0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-09,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-10,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-11,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-12,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-01,a-t,-0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-02,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-03,a-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-04,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-05,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-06,a-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-07,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-08,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-09,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-10,a-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-11,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-12,a-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-01,a-t,0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-02,a-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-03,a-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-04,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-05,a-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-06,a-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-07,a-t,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-08,a-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-09,a-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-10,a-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-11,a-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-12,a-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-02,b-e,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-03,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-04,b-e,-0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-05,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-06,b-e,-0.19,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-07,b-e,0.11,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-08,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-09,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-10,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-11,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-12,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-01,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-02,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-03,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-04,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-05,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-06,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-07,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-08,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-09,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-10,b-e,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-11,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-12,b-e,-0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-01,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-02,b-e,-0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-03,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-04,b-e,0.11,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-05,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-06,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-07,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-08,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-09,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-10,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-11,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-12,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-01,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-02,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-03,b-e,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-04,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-05,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-06,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-07,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-08,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-09,b-e,-0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-10,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-11,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-12,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-01,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-02,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-03,b-e,-0.11,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-04,b-e,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-05,b-e,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-06,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-07,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-08,b-e,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-09,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-10,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-11,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2016-12,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-01,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-02,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-03,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-04,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-05,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-06,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-07,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-08,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-09,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-10,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-11,b-e,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2017-12,b-e,-0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-01,b-e,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-02,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-03,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-04,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-05,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-06,b-e,-0.12,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-07,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-08,b-e,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-09,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-10,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-11,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2018-12,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-01,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-02,b-e,-0.12,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-03,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-04,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-05,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-06,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-07,b-e,0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-08,b-e,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-09,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-10,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-11,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2019-12,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-01,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-02,b-e,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-03,b-e,-0.27,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-04,b-e,-0.29,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-05,b-e,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-06,b-e,0.13,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-07,b-e,0.19,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-08,b-e,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-09,b-e,0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-10,b-e,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-11,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2020-12,b-e,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-01,b-e,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-02,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-03,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-04,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-05,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-06,b-e,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-07,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-08,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-09,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-10,b-e,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-11,b-e,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2021-12,b-e,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-01,b-e,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-02,b-e,0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-03,b-e,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-04,b-e,0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-05,b-e,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-06,b-e,-0.08,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-07,b-e,0.11,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-08,b-e,0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-09,b-e,-0.1,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-10,b-e,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-11,b-e,0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2022-12,b-e,0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-02,g-t,-0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-03,g-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-04,g-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-05,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-06,g-t,-0.13,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-07,g-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-08,g-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-09,g-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-10,g-t,-0.07,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-11,g-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2012-12,g-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-01,g-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-02,g-t,0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-03,g-t,0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-04,g-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-05,g-t,-0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-06,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-07,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-08,g-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-09,g-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-10,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-11,g-t,-0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2013-12,g-t,-0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-01,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-02,g-t,-0.06,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-03,g-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-04,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-05,g-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-06,g-t,0.0,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-07,g-t,0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-08,g-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-09,g-t,0.04,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-10,g-t,-0.05,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-11,g-t,-0.03,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2014-12,g-t,0.02,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-01,g-t,-0.01,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
2015-02,g-t,-0.09,turnover-current-prices,sa,diffusion-index-month-on-month,day7,unitless,
